Type,Days for shipment (scheduled),Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Item Discount Rate,Order Item Quantity,Sales,Order Region,Order State,Product Name,Shipping Mode,Day of Week,Month,Year,Week of Year
DEBIT,4,Sporting Goods,Caguas,Puerto Rico,Consumer,PR,Fitness,Pacific Asia,Bekasi,Indonesia,0.039999999,1,327.75,Southeast Asia,Java Occidental,Smart watch ,Standard Class,2,1,2018,5
TRANSFER,4,Sporting Goods,Caguas,Puerto Rico,Consumer,PR,Fitness,Pacific Asia,Bikaner,India,0.050000001,1,327.75,South Asia,Rajastán,Smart watch ,Standard Class,5,1,2018,2
CASH,4,Sporting Goods,San Jose,EE. UU.,Consumer,CA,Fitness,Pacific Asia,Bikaner,India,0.059999999,1,327.75,South Asia,Rajastán,Smart watch ,Standard Class,5,1,2018,2
DEBIT,4,Sporting Goods,Los Angeles,EE. UU.,Home Office,CA,Fitness,Pacific Asia,Townsville,Australia,0.07,1,327.75,Oceania,Queensland,Smart watch ,Standard Class,5,1,2018,2
PAYMENT,4,Sporting Goods,Caguas,Puerto Rico,Corporate,PR,Fitness,Pacific Asia,Townsville,Australia,0.090000004,1,327.75,Oceania,Queensland,Smart watch ,Standard Class,5,1,2018,2
TRANSFER,4,Sporting Goods,Tonawanda,EE. UU.,Consumer,NY,Fitness,Pacific Asia,Toowoomba,Australia,0.100000001,1,327.75,Oceania,Queensland,Smart watch ,Standard Class,5,1,2018,2
DEBIT,1,Sporting Goods,Caguas,Puerto Rico,Home Office,PR,Fitness,Pacific Asia,Guangzhou,China,0.119999997,1,327.75,Eastern Asia,Guangdong,Smart watch ,First Class,5,1,2018,2
TRANSFER,1,Sporting Goods,Miami,EE. UU.,Corporate,FL,Fitness,Pacific Asia,Guangzhou,China,0.129999995,1,327.75,Eastern Asia,Guangdong,Smart watch ,First Class,5,1,2018,2
CASH,2,Sporting Goods,Caguas,Puerto Rico,Corporate,PR,Fitness,Pacific Asia,Guangzhou,China,0.150000006,1,327.75,Eastern Asia,Guangdong,Smart watch ,Second Class,5,1,2018,2
CASH,1,Sporting Goods,San Ramon,EE. UU.,Corporate,CA,Fitness,Pacific Asia,Guangzhou,China,0.159999996,1,327.75,Eastern Asia,Guangdong,Smart watch ,First Class,5,1,2018,2
TRANSFER,2,Sporting Goods,Caguas,Puerto Rico,Corporate,PR,Fitness,Pacific Asia,Tokio,Japón,0.170000002,1,327.75,Eastern Asia,Tokio,Smart watch ,Second Class,5,1,2018,2
TRANSFER,2,Sporting Goods,Freeport,EE. UU.,Consumer,NY,Fitness,Pacific Asia,Manado,Indonesia,0.180000007,1,327.75,Southeast Asia,Célebes Septentrional,Smart watch ,Second Class,5,1,2018,2
TRANSFER,2,Sporting Goods,Salinas,EE. UU.,Corporate,CA,Fitness,Pacific Asia,Manado,Indonesia,0.200000003,1,327.75,Southeast Asia,Célebes Septentrional,Smart watch ,Second Class,5,1,2018,2
